Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Joey Dorsey,PF,joey-dorsey,2008,-0.892621592,0.0008426039999999999,0.07571317400000001,0.44432087299999995
Malik Hairston,SG,malik-hairston,2008,-0.93788657,0.0036756909999999996,0.060182022,0.48016583
Mike Taylor,PG,mike-taylor,2008,-0.9437862220000001,0.0,0.080278527,0.39384546299999995
Joe Alexander,SF,joe-alexander,2008,-0.9443807009999999,0.002319691,0.076967295,0.443911855
Jamont Gordon,SG,jamont-gordon,2008,-0.980782258,0.003404463,0.061128409,0.417733526
Marcus Dove,SF,marcus-dove,2008,-0.992405106,8.04808e-05,0.062775953,0.41156617700000003
Darnell Jackson,PF,darnell-jackson,2008,-0.9976419259999999,0.0,0.075217555,0.429994899
Josh Duncan,SF,josh-duncan,2008,-1.010999661,0.0,0.047927505999999995,0.46018892899999997
Chris Lofton,SG,chris-lofton,2008,-1.031019051,0.000922638,0.046547065,0.447099388
Joe Crawford,SG,joe-crawford,2008,-1.037005378,0.0,0.026220088,0.503200778
Chris Douglas-Roberts,SG,chris-douglas-roberts,2008,-1.037290462,0.0026095529999999997,0.073049005,0.41502612
Jawann McClellan,SG,jawann-mcclellan,2008,-1.044038892,0.0,0.025453521,0.49107715
Kyle Weaver,PG,kyle-weaver,2008,-1.056623149,0.001547841,0.069087263,0.371474735
Mickell Gladness,PF,mickell-gladness,2008,-1.070205359,0.0,0.041737969,0.418841334
Reggie Williams,SG,reggie-williams,2008,-1.07265197,0.000479011,0.045502155999999995,0.44479251299999994
Othello Hunter,PF,othello-hunter,2008,-1.095802318,0.000372025,0.039953366000000004,0.44697250000000005
Longar Longar,C,longar-longar,2008,-1.1041470759999998,0.0,0.038092232000000004,0.419631631
Patrick Ewing Jr.,SF,patrick-ewing-jr,2008,-1.12507373,0.0,0.034737872,0.40804834100000004
Walter Sharpe,PF,walter-sharpe,2008,-1.128185543,0.000540176,0.035090743,0.40668176100000003
Richard Hendrix,PF,richard-hendrix,2008,-1.129893634,0.0005495519999999999,0.048082634000000006,0.38861135799999996
Sasha Kaun,C,sasha-kaun,2008,-1.1535714670000001,0.000551242,0.06272428099999999,0.36718485700000003
DeMarcus Nelson,SG,demarcus-nelson,2008,-1.156377959,0.0,0.050831800999999996,0.391511974
Jamar Butler,PG,jamar-butler,2008,-1.159283845,0.0,0.032854111,0.396792209
Bryce Taylor,SG,bryce-taylor,2008,-1.160663274,0.000429662,0.027373635,0.455786539
Shawn James,PF,shawn-james,2008,-1.17474957,0.0,0.026489927000000003,0.403015475
Drew Neitzel,PG,drew-neitzel,2008,-1.194098238,0.0,0.031552375,0.382981988
Shan Foster,SG,shan-foster,2008,-1.20277047,0.0,0.029972987000000003,0.398565125
David Padgett,C,david-padgett,2008,-1.206137644,0.0,0.041702291,0.374067527
J.R. Giddens,SG,jr-giddens,2008,-1.212790993,0.0,0.026419841,0.40369536100000003
James Mays,PF,james-mays,2008,-1.212861536,0.0007542489999999999,0.033138048999999996,0.346204941
Aleks Maric,C,aleks-maric,2008,-1.2330542290000002,0.00020109200000000002,0.025461239,0.36127327
Marcelus Kemp,SG,marcelus-kemp,2008,-1.244614514,0.000615393,0.012974095,0.408243199
C.J. Giles,C,cj-giles,2008,-1.260817974,0.0,0.03027509,0.34039642299999995
D.J. White,PF,dj-white,2008,-1.26138559,0.000310542,0.047855395999999994,0.33616557399999997
Kentrell Gransberry,PF,kentrell-gransberry,2008,-1.265477115,0.00032929199999999996,0.03676358,0.322699588
Davon Jefferson,SF,davon-jefferson,2008,-1.271617811,0.0,0.046392694000000005,0.31433790000000006
Pat Calathes,SF,pat-calathes,2008,-1.2719204179999999,0.0,0.03409069,0.33873192399999996
Joseph Jones,PF,joseph-jones,2008,-1.28269015,0.000690756,0.021732945,0.355880873
